review_id,review_text,rating
gp:AOqpTOEhZuqSqqWnaKRgv-9ABYdajFUB0WugPGh-SG-fgH355YH_t7J2q4xYo6ZzN3Mc7iSrrTV6ke8hG_fl4Q,i cannot open the app anymore,1
gp:AOqpTOH0WP4IQKBZ2LrdNmFy_YmpPCVrV3diEU9KGm3fAX6VG0NAZCudCQpQRRI3GLL_tr8DQzUTP1hrOYG74A,i have been begging for a refund from this app for over a month and nobody is replying me,1
gp:AOqpTOEMCkJB8Iq1p-r9dPwnSYadA5BkPWTf32Z1azuuTvqA9KWdTQqNNXWZsJEhmSuYUY_LmL-OdUIl4j70wg,very costly for the premium version approx indian rupees 910 per year . better to download the premium version of this app from apkmos website and use it. microsoft to do list app is far more better.,1
gp:AOqpTOGFrUWuKGycpje8kszj3uwHN6tU_fd4gLVFy9z7hfGM7Gan22TJrN89NmGVEdj5o4U6W4I6slbTx8OsQw,"used to keep me organized, but all the 2020 updates have made a mess of things !!! y cudn t u leave well enuf alone ??? guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!!",1
gp:AOqpTOEvElPsBa6k8rLDmk-WrEoJea98KUrIGYWodJeMVupSbNMymunFaONx09WflbZ3CLazVJJDAAp3dVvd1g,it has changed how i viewed my different lists. now they are all jumbled together and i can t find what i need.,1
gp:AOqpTOGHb-APKKMNFyL1OwuGq1AGW6bQp5aYYxSHvJxFL6ur8n__5GqPwFPNb10urenFAS-p4fxP4490-COB8A,"i m only looking for a grocery list app but every time i tap away from the app i have to tap again after opening it again to see the list. i can t find a way to keep a certain list showing when i open or reopen the app. eta in response to the reply, it doesn t work like that on my phone. even if the grocery list is showing, when i open another app and then go back to the any.do app, the list of lists is showing and i have to retap to get the grocery list to show again.",1
gp:AOqpTOEcxvv_c0CK3G5tHjxXsGSjbzD65OQ3og02p-q1rR1qyBmbJr6yE585uRIZ9xQPOMiP6V6LOdVmiJm3aw,"reset my free trial, new phone i d like to see if it s better.",1
gp:AOqpTOHVgr7_qOhORsfPwnVCqX-n98dJ1Ksrps6q52pgv44BNu_oSk1oprSIE9CwfYefD-kFIRjzGo4F4CRMYQ,how do to stop monthly payment because i don t use this app anymore,1
gp:AOqpTOHQ_paQ_ffWsMqGOWmMsPxs-pBkBgR_3H63WJvyqREYhe8SB2lwPZ9MbACWyyeSIEpLfak0sUQlcpCAwg,"i complain about not crashes and it was immediately fixed!good job!! now the crashes have returned! i really need it fixed because i need to change apps otherwise i followed your instructions on deleting the data, etc but it just now crashed again. i am a patient person and i have used any do for years but let s try one more time and then i will have to find another app. it crashed again",1
gp:AOqpTOEA0ubPA5n0s_6lg0BHqfQqj0gi-KIdZF_I1yZSAWSG99_sh26f4jfDlXPVJ_KIrJGtRX93nRwYcehR4Q,"constant crashing. after reading all the negative reviews, i uninstalled it from all my devices. canceled subscription. app was great, until it crashed. after spending more than a hour setting it up on my samsung tablet, it will not run. cannot even get it to start. too bad. in the past, my experiences have been good with this app. guess i will see how long it takes to crash on my cell phone. so much for multi device sync. such a disappointment. see above, for new comment added.",1
gp:AOqpTOHrRuSVa3NrUSSPteLrj5Al27ooHi8ljxmMMRjkAyl63aPWKZHWQ0eiOIKNyNkTFf1SBAhCEi-u4cylcQ,"widgets are useless because they always show all tasks i have, regardless of category. there s no option to show only a specific category like groceries so they re all mixed up with to do list tasks. do developers even care about usability? isn t it a software design 101?",1
gp:AOqpTOGCsBs3-GSKz119JEyIQtyzUswQeotrpjqvGVEN-vY8vnnJ22kjT_5O5mrdt8zU0wRxmD-GsrIsoQv_iA,horrible app. it doesn t do as described. absolutely no support!,1
gp:AOqpTOFI1-khEBbLnJU1yPTAg_rTBWEX3ZK5yOthFwyYmAUzSwTRwDJ17iZCBt7LT65M_cIbYU8A6Gu4acFSgw,"update october 2020 new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. finding a new app. been using this for years and loved it. with each update you get less and less free. it just auto updated and now i can t have reoccurring reminders without paying. unless you count defaulting to every monday. it wouldn t even allow me to update a long time weekly reminder",1
gp:AOqpTOFTcK3OSNQM_GedidaPkGSIsB-wuBzWWS_i8KEnPSflZ06hELS5xhdhmEFk0MxDdll5ELbblUhT_nKZ4Q,did not realize there was a charge for this app do not want this app.,1
gp:AOqpTOHnLeO0PPj1jtiWlfKaIADWg-J039PvPQjHwmufBGmWWXDlcvhYaqvmZXsCD8Qd3SYABcpWsfCdq6FK7w,"spams notifications of how many tasks other users have completed this week. who on earth would care? uninstalled. update developer responded that this was a once off experiment. i think this was actually the third time i received this notification. also, experimental spam is still spam",1
gp:AOqpTOE4ZgmyiDZk9YZsFBQqqEnATvc1sETIZYq9isNUDHfCKyMqJIwPLMBsPZYhiMG9d8y-nDEYIHNraLPNKA,downloaded first thing it trys to do is do a con. not impressed.,1
gp:AOqpTOG9cqNtW6wDlVZOu-v0fFtyKxS5EfFWoePAqJkWjh7ef1luOP8EdOZRhlHq-kWLvFJX-hLnRlrFAEE8xA,no longer works with alexa. what happened??,1
gp:AOqpTOG7O0QHPF-ALRwVW6FMGeKf5J5Gq2SYMAy8DLfeSIiadF8CZBe4R-BbVcfsKLa825kdhHWNrizbjiPmQg,it doesn t show any list,1
gp:AOqpTOGbiMG5WNCrGuTd0nmHg0Tok75AfW752g2syKzwbnQ1QlMHSgbXisZdq7Ok08PgzG5qWBE7JtIC6ml5gQ,this app is not what i wanted at all.,1
gp:AOqpTOELOICKPjyvmSySLflfOlkd0ccYqZwG9dZzI6iVMlXBpuX6QI993AqrsuKchQ2jlrHh8fhSO71DZSKWpQ,unnecessary pop up. really annoying and counterproductive,1
gp:AOqpTOF9yXFNFzssxE_a4QF9W4ECF7tZljcuLJhSMYOBs7stbYNJaUQrbgRELUAE63XEVL_Wvp49EyP2EgBmTQ,they recently started sending spammy notifications every week or so. please stop.,1
gp:AOqpTOHlSaprmrINSj7IOMfYRbGyHMW1E5MFY9j7r2MGKvyc41oGwoNHPm09J8VUU0b90JVE165Vf0QXbfgYfg,"shows tasks assigned to others in widget. a major missing feature for any serious projects, is some way to know if a task you re currently adding to a long list, already exists. some kind of an automatic search through the existing tasks at least the tasks in the current list while typing in a new task. other than that, this is great. good job! _task search in the web app is an extra step and not intuitive._ using a separate search feature to check every new task you re adding, is absurd.",1
gp:AOqpTOEP-X3mbO7FINTNm2xh0kUoMS4F3px0RdW34jMnwMeDBLAVYlUeKYwmCORF0xJ4X3OuG5UI4391yLdBDg,7 days for free and then you pay. plus too complicated for some simple tasks,1
